Fulde navn;Parti;
Aki-Matilda Høegh-Dam;Siumut
Alex Ahrendtsen;Dansk Folkeparti
Alex Vanopslagh;Liberal Alliance
Anders Kronborg;Socialdemokratiet
Andreas Steenberg;Radikale Venstre
Ane Halsboe-Jørgensen;Socialdemokratiet
Anne Honoré Østergaard;Venstre
Anne Paulin;Socialdemokratiet
Anne Sophie Callesen;Radikale Venstre
Anne Valentina Berthelsen;Socialistisk Folkeparti
Annette Lind;Socialdemokratiet
Anni Matthiesen;Venstre
Astrid Carøe;Socialistisk Folkeparti
Astrid Krag;Socialdemokratiet
Benny Engelbrecht;Socialdemokratiet
Bent Bøgsted;Dansk Folkeparti
Bertel Haarder;Venstre
Birgitte Bergman;Det Konservative Folkeparti
Birgitte Vind;Socialdemokratiet
Bjarne Laustsen;Socialdemokratiet
Bjørn Brandenborg;Socialdemokratiet
Brigitte Klintskov Jerkel;Det Konservative Folkeparti
Britt Bager;Venstre
Camilla Fabricius;Socialdemokratiet
Carl Valentin;Socialistisk Folkeparti
Carsten Kissmeyer;Venstre
Charlotte Broman Mølbæk;Socialistisk Folkeparti
Christian Juhl;Enhedslisten
Christian Rabjerg Madsen;Socialdemokratiet
Christoffer Aagaard Melson;Venstre
Claus Hjort Frederiksen;Venstre
Dan Jørgensen;Socialdemokratiet
Daniel Toft Jakobsen;Socialdemokratiet
Dennis Flydtkjær;Dansk Folkeparti
Dorthe Hindborg;Socialdemokratiet
Edmund Joensen;Sambandsflokkurin
Ellen Trane Nørby;Venstre
Erling Bonnesen;Venstre
Eva Flyvholm;Enhedslisten
Eva Kjer Hansen;Venstre
Fatma Øktem;Venstre
Flemming Møller Mortensen;Socialdemokratiet
Gitte Willumsen;Venstre
Halime Oguz;Socialistisk Folkeparti
Hans Andersen;Venstre
Hans Christian Schmidt;Venstre
Hans Kristian Skibby;Dansk Folkeparti
Heidi Bank;Venstre
Henning Hyllested;Enhedslisten
Henrik Dahl;Liberal Alliance
Henrik Møller;Socialdemokratiet
Henrik Dam Kristensen;Socialdemokratiet
Ida Auken;Radikale Venstre
Ina Strøjer-Schmidt;Socialistisk Folkeparti
Inger Støjberg;Venstre
Jacob Jensen;Venstre
Jacob Mark;Socialistisk Folkeparti
Jakob Ellemann-Jensen;Venstre
Jakob Sølvhøj;Enhedslisten
Jan Johansen;Socialdemokratiet
Jan E. Jørgensen;Venstre
Jane Heitmann;Venstre
Jens Joel;Socialdemokratiet
Jens Rohde;Radikale Venstre
Jens Henrik Thulesen Dahl;Dansk Folkeparti
Jeppe Bruus;Socialdemokratiet
Jesper Petersen;Socialdemokratiet
Jette Gottlieb;Enhedslisten
Julie Skovsby;Socialdemokratiet
Karen Ellemann;Venstre
Karina Adsbøl;Dansk Folkeparti
Karina Lorentzen Dehnhardt;Socialistisk Folkeparti
Karsten Hønge;Socialistisk Folkeparti
Karsten Lauritzen;Venstre
Kasper Roug;Socialdemokratiet
Kasper Sand Kjær;Socialdemokratiet
Katarina Ammitzbøll;Det Konservative Folkeparti
Kathrine Olldag;Radikale Venstre
Katrine Robsøe;Radikale Venstre
Kim Valentin;Venstre
Kirsten Normann Andersen;Socialistisk Folkeparti
Kristian Hegaard;Radikale Venstre
Kristian Jensen;Venstre
Kristian Pihl Lorentzen;Venstre
Kristian Thulesen Dahl;Dansk Folkeparti
Kaare Dybvad Bek;Socialdemokratiet
Lars Aslan Rasmussen;Socialdemokratiet
Lars Boje Mathiesen;Nye Borgerlige
Lars Christian Lilleholt;Venstre
Lars Løkke Rasmussen;Venstre
Lea Wermelin;Socialdemokratiet
Leif Lahn Jensen;Socialdemokratiet
Lennart Damsbo-Andersen;Socialdemokratiet
Lisbeth Bech Poulsen;Socialistisk Folkeparti
Lise Bech;Dansk Folkeparti
Liselott Blixt;Dansk Folkeparti
Lotte Rod;Radikale Venstre
Louise Schack Elholm;Venstre
Mads  Fuglede;Venstre
Magnus Heunicke;Socialdemokratiet
Mai Mercado;Det Konservative Folkeparti
Mai Villadsen;Enhedslisten
Malte Larsen;Socialdemokratiet
Marcus Knuth;Det Konservative Folkeparti
Marianne Jelved;Radikale Venstre
Marie Bjerre;Venstre
Marie Krarup;Dansk Folkeparti
Marlene Ambo-Rasmussen;Venstre
Martin Geertsen;Venstre
Martin Lidegaard;Radikale Venstre
Mattias Tesfaye;Socialdemokratiet
Mette Abildgaard;Det Konservative Folkeparti
Mette Frederiksen;Socialdemokratiet
Mette Gjerskov;Socialdemokratiet
Mette Thiesen;Nye Borgerlige
Mette Hjermind Dencker;Dansk Folkeparti
Michael Aastrup Jensen;Venstre
Mogens Jensen;Socialdemokratiet
Mona Juul;Det Konservative Folkeparti
Morten Bødskov;Socialdemokratiet
Morten Dahlin;Venstre
Morten Messerschmidt;Dansk Folkeparti
Morten Østergaard;Radikale Venstre
Naser Khader;Det Konservative Folkeparti
Nick Hækkerup;Socialdemokratiet
Nicolai Wammen;Socialdemokratiet
Niels Flemming Hansen;Det Konservative Folkeparti
Nils Sjøberg;Radikale Venstre
Ole Birk Olesen;Liberal Alliance
Orla Hav;Socialdemokratiet
Orla Østerby;Det Konservative Folkeparti
Peder Hvelplund;Enhedslisten
Per Larsen;Det Konservative Folkeparti
Pernille Bendixen;Dansk Folkeparti
Pernille Rosenkrantz-Theil;Socialdemokratiet
Pernille Skipper;Enhedslisten
Pernille Vermund;Nye Borgerlige
Peter Hummelgaard;Socialdemokratiet
Peter Juel-Jensen;Venstre
Peter Seier Christensen;Nye Borgerlige
